name
中国核工业集团有限公司
中国航天科技集团有限公司
中国航天科工集团有限公司
中国航空工业集团有限公司
中国建筑集团有限公司
北京汽车集团有限公司
北京能源集团有限责任公司
北京公共交通控股（集团）有限公司
北京市地铁运营有限公司
中国同仁堂集团
