name,credit_code,aliases
北京锐凌科技有限公司,,
中国核工业集团有限公司,,
中国航天科技集团有限公司,,
中国航天科工集团有限公司,,
中国航空工业集团有限公司,,
中国建筑集团有限公司,,
北京汽车集团有限公司,,
北京能源集团有限责任公司,,
北京公共交通控股（集团）有限公司,,
北京市地铁运营有限公司,,
中国同仁堂集团,,
字节跳动科技有限公司,,
小米科技有限责任公司,,
百度在线网络技术（北京）有限公司,,
京东集团,,
美团,,
快手科技,,
滴滴出行科技有限公司,,
新浪微博,,
搜狐公司,,
网易（北京）网络有限公司,,
联想集团,,
中关村科技园区管理委员会,,
北京银行股份有限公司,,
中国人寿保险股份有限公司,,
中国人民保险集团股份有限公司,,
泰康保险集团股份有限公司,,
中信证券股份有限公司,,
中金公司,,
华夏银行股份有限公司,,
北京首都国际机场股份有限公司,,
首都机场集团公司,,
中国国际航空股份有限公司,,
中国石油天然气集团有限公司,,
中国石油化工集团有限公司,,
国家电网有限公司,,
中国移动通信集团有限公司,,
中国联合网络通信集团有限公司,,
中国电信集团有限公司,,
华为技术有限公司北京研究所,,
中兴通讯股份有限公司北京分公司,,
北京同仁医院,,
北京协和医院,,
北京大学第一医院,,
北京大学人民医院,,
中日友好医院,,
北京天坛医院,,
北京朝阳医院,,
北京安贞医院,,
北京积水潭医院,,
北京儿童医院,,
清华大学,,
北京大学,,
中国人民大学,,
北京师范大学,,
北京航空航天大学,,
北京理工大学,,
中国农业大学,,
北京科技大学,,
北京化工大学,,
北京邮电大学,,
中央财经大学,,
对外经济贸易大学,,
中国政法大学,,
中央民族大学,,
北京外国语大学,,
北京语言大学,,
中国传媒大学,,
中央音乐学院,,
中央美术学院,,
中央戏剧学院,,
北京电影学院,,
中国科学院,,
中国社会科学院,,
中国工程院,,
国家发展和改革委员会,,
工业和信息化部,,
商务部,,
文化和旅游部,,
国家卫生健康委员会,,
中国人民银行,,
国家市场监督管理总局,,
国家知识产权局,,
国家统计局,,
国家税务总局,,
海关总署,,
国家广播电视总局,,
国家体育总局,,
国家能源局,,
中国证券监督管理委员会,,
中国银行保险监督管理委员会,,
中国国家铁路集团有限公司,,
中国邮政集团有限公司,,
中国烟草总公司,,
中国盐业集团有限公司,,
